"","V1","V2"
"1",1,4.9605
"2",1,4.921
"3",1,4.8815
"4",1,4.842
"5",1,4.8025
"6",1,4.763
"7",1,4.7235
"8",1,4.684
"9",1,4.6445
"10",1,4.605
"11",1,4.5655
"12",1,4.526
"13",1,4.4865
"14",1,4.447
"15",1,4.4075
"16",1,4.368
"17",1,4.3285
"18",1,4.289
"19",1,4.2495
"20",1,4.21
"21",1,4.1705
"22",1,4.131
"23",1,4.0915
"24",1,4.052
"25",1,4.0125
"26",1,3.973
"27",1,3.9335
"28",1,3.894
"29",1,3.8545
"30",1,3.815
"31",1,3.7755
"32",1,3.736
"33",1,3.6965
"34",1,3.657
"35",1,3.6175
"36",1,3.578
"37",1,3.5385
"38",1,3.499
"39",1,3.4595
"40",1,3.42
"41",1,3.3805
"42",1,3.341
"43",1,3.3015
"44",1,3.262
"45",1,3.2225
"46",1,3.183
"47",1,3.1435
"48",1,3.104
"49",1,3.0645
"50",1,3.025
"51",1,2.9855
"52",1,2.946
"53",1,2.9065
"54",1,2.867
"55",1,2.8275
"56",1,2.788
"57",1,2.7485
"58",1,2.709
"59",1,2.6695
"60",1,2.63
"61",1,2.5905
"62",1,2.551
"63",1,2.5115
"64",1,2.472
"65",1,2.4325
"66",1,2.393
"67",1,2.3535
"68",1,2.314
"69",1,2.2745
"70",1,2.235
"71",1,2.1955
"72",1,2.156
"73",1,2.1165
"74",1,2.077
"75",1,2.0375
"76",1,1.998
"77",1,1.9585
"78",1,1.919
"79",1,1.8795
"80",1,1.84
"81",1,1.8005
"82",1,1.761
"83",1,1.7215
"84",1,1.682
"85",1,1.6425
"86",1,1.603
"87",1,1.5635
"88",1,1.524
"89",1,1.4845
"90",1,1.445
"91",1,1.4055
"92",1,1.366
"93",1,1.3265
"94",1,1.287
"95",1,1.2475
"96",1,1.208
"97",1,1.1685
"98",1,1.129
"99",1,1.0895
"100",1,1.05
"101",1,1.0105
"102",1,0.971
"103",1,0.9315
"104",1,0.891999999999999
"105",1,0.8525
"106",1,0.813
"107",1,0.773499999999999
"108",1,0.734
"109",1,0.6945
"110",1,0.655
"111",1,0.6155
"112",1,0.576
"113",1,0.5365
"114",1,0.497
"115",1,0.4575
"116",1,0.417999999999999
"117",1,0.3785
"118",1,0.339
"119",1,0.2995
"120",1,0.26
"121",1,0.220499999999999
"122",1,0.181
"123",1,0.1415
"124",1,0.102
"125",1,0.0625
"126",1,0.0229999999999997
"127",1,-0.0165000000000006
"128",1,-0.056
"129",1,-0.0955000000000004
"130",1,-0.135
"131",1,-0.1745
"132",1,-0.214
"133",1,-0.2535
"134",1,-0.293000000000001
"135",1,-0.3325
"136",1,-0.372000000000001
"137",1,-0.4115
"138",1,-0.451000000000001
"139",1,-0.490500000000001
"140",1,-0.53
"141",1,-0.569500000000001
"142",1,-0.609
"143",1,-0.6485
"144",1,-0.688000000000001
"145",1,-0.7275
"146",1,-0.767
"147",1,-0.8065
"148",1,-0.846
"149",1,-0.8855
"150",1,-0.925
"151",1,-0.9645
"152",1,-1.004
"153",1,-1.0435
"154",1,-1.083
"155",1,-1.1225
"156",1,-1.162
"157",1,-1.2015
"158",1,-1.241
"159",1,-1.2805
"160",1,-1.32
"161",1,-1.3595
"162",1,-1.399
"163",1,-1.4385
"164",1,-1.478
"165",1,-1.5175
"166",1,-1.557
"167",1,-1.5965
"168",1,-1.636
"169",1,-1.6755
"170",1,-1.715
"171",1,-1.7545
"172",1,-1.794
"173",1,-1.8335
"174",1,-1.873
"175",1,-1.9125
"176",1,-1.952
"177",1,-1.9915
"178",1,-2.031
"179",1,-2.0705
"180",1,-2.11
"181",1,-2.1495
"182",1,-2.189
"183",1,-2.2285
"184",1,-2.268
"185",1,-2.3075
"186",1,-2.347
"187",1,-2.3865
"188",1,-2.426
"189",1,-2.4655
"190",1,-2.505
"191",1,-2.5445
"192",1,-2.584
"193",1,-2.6235
"194",1,-2.663
"195",1,-2.7025
"196",1,-2.742
"197",1,-2.7815
"198",1,-2.821
"199",1,-2.8605
"200",1,-2.9
