"total.in.WWSI","total.in.CPAI","total.in.CPI","total.in.CLI","total.in.BOC","total.in.ICBC","total.in.CCB","total.in.ABC","total.in.BOCOM","total.in.PAB","total.in.NBB","total.in.SPDB","total.in.HXB","total.in.MSB","total.in.CMB","total.in.NJB","total.in.IDB","total.in.BJB","total.in.CCITIB","total.in.CEB","total.out.WWSI","total.out.CPAI","total.out.CPI","total.out.CLI","total.out.BOC","total.out.ICBC","total.out.CCB","total.out.ABC","total.out.BOCOM","total.out.PAB","total.out.NBB","total.out.SPDB","total.out.HXB","total.out.MSB","total.out.CMB","total.out.NJB","total.out.IDB","total.out.BJB","total.out.CCITIB","total.out.CEB","total.in.all","total.out.all"
2.0042766191029,1.91366918980495,2.24699477162663,1.37370488342323,1.10653200776461,1.57413687352877,1.1358097304485,1.34505926724794,1.23077539575626,1.71929378434318,1.65573730218162,1.37496138389233,1.70097209618399,1.43215764063844,1.17654740585534,2.0861592520012,1.26216006146451,1.44120234130465,1.3558959811037,1.70131566378403,0.37725276843106,1.22670098707123,1.74679807130504,1.31073593266102,2.47944243177341,1.63041495055262,1.2797084167715,1.9099162157983,2.09887909849436,0.875096773845487,1.37030796540693,1.50288981352778,1.45196608953987,1.33274722992626,2.46632137450892,1.54673185705562,0.90578428242726,2.14082613802692,1.8774714130797,1.30736984125352,30.8373616514568,30.8373616514568
2.00966438798925,1.99708896248511,2.24387217288519,1.34547151064098,1.10641300659907,1.56679299637628,1.18451542769511,1.36083173743213,1.23077537190579,1.75738137324455,1.6506963885188,1.27699899255345,1.7159310441777,1.44858744929819,1.17654815363812,2.02206618044688,1.25337864857649,1.38448882204705,1.35535789561476,1.68270616609752,0.359052688271901,1.21384423932305,1.7342115566991,1.33374049577639,2.45216399654282,1.60202012127925,1.23343984501362,1.88511032517095,2.15661806051796,0.855034589485137,1.47021644110901,1.49441462678133,1.49283414789944,1.32873036868966,2.49746978702696,1.46715059753069,0.902297016235357,2.10518564622269,1.87492864240612,1.31110349624098,30.7695666882224,30.7695666882224
2.00939209546469,2.07696057127857,2.2440052085993,1.36885799078978,1.10438197054764,1.57258185595615,1.15496108669024,1.36083172373093,1.24535621521597,1.76775812156272,1.65070058742253,1.27052053526401,1.73703084918199,1.45279839783727,1.1676234201916,1.97857927598109,1.26019647548155,1.36214350407424,1.37797465758831,1.63678736633853,0.353167828819553,1.19238622396631,1.73690703173374,1.28338830841711,2.48158116439757,1.61962155650301,1.23633242822463,1.92279308164156,2.13014371167774,0.861276855158886,1.4639970297653,1.48914614482641,1.48148777473785,1.36849228140554,2.50793927147161,1.4892135083091,0.936188987769795,2.12071962942013,1.87369665943601,1.25096243151526,30.7994419091971,30.7994419091971
1.97757826926162,2.08820316724944,2.25193077766006,1.35402774300429,1.1035990868205,1.52867184559045,1.13189201000899,1.34325804492147,1.23717961156476,1.76538732480204,1.65343842454297,1.27989813364782,1.75809578580148,1.45279884543063,1.11779392778378,1.98962992776205,1.29602745588923,1.34653351951878,1.37797756007524,1.59626631489494,0.355291179233263,1.2285422171543,1.72847417969331,1.28496351435695,2.42894956442737,1.65108031767985,1.18843195231187,1.97609271222363,2.1053943271778,0.881348380832463,1.43700135190333,1.54031967487436,1.48801204985049,1.26699157609734,2.43833707110466,1.53590078040793,0.953753831177804,2.13134571284439,1.82890226266132,1.2010551202181,30.6501877762305,30.6501877762305
2.03878973371407,2.0775244802487,2.24923937718733,1.31340915098357,1.10015443857606,1.49301998207915,1.27095403010569,1.31017295814326,1.14175670172877,1.77883059259856,1.62354456681923,1.27318248658232,1.7401496654978,1.45279884567308,1.11084396394701,1.97593787273145,1.34482117247724,1.38926435890235,1.38215004979571,1.62940238313969,0.339525861021254,1.24110000431971,1.75723427208911,1.28183638456005,2.41649293259418,1.65099539145913,1.19542540328416,1.98522508101422,2.0959791122161,0.903346365945753,1.3760786598961,1.58390663462159,1.58184975487887,1.29370107264825,2.43669141083755,1.49693658774325,0.923526021449848,2.06181573991974,1.86119810127328,1.21308201915891,30.6959468109311,30.6959468109311
2.1110448614752,2.04506604765409,2.24923887985526,1.28331261100717,1.12115589029053,1.49109802465161,1.24800325042978,1.3228634086656,1.14010465609029,1.77666441211079,1.61770720396293,1.295601540973,1.74096616723583,1.45279884584012,1.10299222052601,2.01726650224678,1.33329222966857,1.38625381436387,1.36066386492291,1.6053250249155,0.32190180612803,1.2058250274499,1.77940143345366,1.27865180139303,2.40852203312372,1.69492694589381,1.22747839356518,1.99500888478591,2.13287154989012,0.946624652789788,1.39109775940988,1.61405770045235,1.54688237674749,1.2178175745789,2.46607831711761,1.48923210894116,0.90755366001174,2.01160742138348,1.84556722493624,1.22031278483385,30.7014194568858,30.7014194568858
1.98499474635424,2.0424525610816,2.34401153977132,1.27289668476453,1.11860620070812,1.57477297566054,1.22495406441396,1.24454241857749,1.07716924770429,1.71628522618154,1.67882066668632,1.38638980202243,1.72520523682071,1.46357116973509,1.08548705320982,1.98900728267494,1.42432449593571,1.48468025974739,1.37405761244385,1.58739481436781,0.367695282650285,1.1820228039942,1.81039135109607,1.36063539732856,2.46191317960107,1.61717541860601,1.253006649985,2.01600124326511,2.15392422405368,1.04986763635949,1.41310345335809,1.63958044206631,1.48708196474943,1.27755163851118,2.40861788301413,1.5342445355005,0.957226948879538,1.6603812000387,1.81946349428287,1.32973931152149,30.7996240588617,30.7996240588617
1.98499475939988,1.95267251008814,2.3440115330361,1.25705124294806,1.1185982702434,1.55944143360568,1.22495431960936,1.25692673124876,1.06681765788352,1.57196912315395,1.67353527221479,1.38516924451747,1.72135215092877,1.46357151355621,1.08549607879611,1.99444140380346,1.43137089530282,1.50240021276,1.3783333224253,1.58434669705686,0.366451795581695,1.19273444420126,1.79563708515393,1.42395352380027,2.36492850869357,1.61314191149237,1.35924914343714,1.97460577256809,2.0623102642624,1.02813588425327,1.36440532840719,1.63525975862374,1.48996183014489,1.39182354383853,2.30351265756978,1.56066377450978,0.88933471334654,1.65385686279644,1.80363905392002,1.28384851597776,30.5574543725787,30.5574543725787
1.98499466649814,2.00730271395361,2.34431264954588,1.2979604684437,1.14653545136463,1.57158842962482,1.31689224506532,1.23837028577586,1.07600134237578,1.58232753258016,1.67356035372986,1.38424584324103,1.69949636944302,1.46862056373513,1.13375934561277,1.99444217228275,1.40453946780513,1.50118135760656,1.37704548088016,1.60758205809702,0.361555087519211,1.22939684472488,1.88026703342663,1.33326283034724,2.46236952306204,1.62458156300709,1.28686201725526,2.01793908233131,2.13874011232597,1.0037630169947,1.37493635394368,1.59202531979866,1.46439805044605,1.43815513686156,2.32241817478749,1.53815349898822,0.933672993549955,1.67533654522042,1.78369730399424,1.34922830907672,30.8107587976613,30.8107587976613
2.10634675863741,1.97254505029705,2.25968743025739,1.24826572621648,1.11944336955664,1.56557486592651,1.26630502043163,1.24336401780009,1.06356409304409,1.69844894801909,1.67183168425954,1.2354010887491,1.80216718568868,1.47100541146306,1.13254005005527,1.97169017367686,1.39833337173333,1.50079548737728,1.37704428502511,1.61054007471611,0.354016472255778,1.16456444769206,1.87907863904293,1.42259508862594,2.38252746797352,1.60461475437099,1.31085409049732,1.86965236370968,2.08065675251991,1.02484632950091,1.43415087411336,1.59202601015935,1.40443283408228,1.35122866055163,2.35663262415242,1.68372800665134,0.959502899963918,1.6105904845216,1.7994376760921,1.42975761645367,30.7148940929307,30.7148940929307
