Date,totalnetwork_115,totalnetwork_230,totalnetwork_424,totalnetwork_460
2011/6/21,0.326567971,,,
2011/6/22,0.334538126,,,
2011/6/23,0.323450726,,,
2011/6/24,0.248780168,,,
2011/6/27,0.239766064,,,
2011/6/28,0.220852547,,,
2011/6/29,0.22569303,,,
2011/6/30,0.26291662,,,
2011/7/1,0.253297499,,,
2011/7/5,0.260328875,,,
2011/7/6,0.247385658,,,
2011/7/7,0.268857191,,,
2011/7/8,0.283293361,,,
2011/7/11,0.301219484,,,
2011/7/12,0.262943146,,,
2011/7/13,0.300174975,,,
2011/7/14,0.30748068,,,
2011/7/15,0.292373005,,,
2011/7/18,0.282731952,,,
2011/7/19,0.30448589,,,
2011/7/20,0.305450374,,,
2011/7/21,0.252739213,,,
2011/7/22,0.331483011,,,
2011/7/25,0.353523282,,,
2011/7/26,0.376254749,,,
2011/7/27,0.356273303,,,
2011/7/28,0.364382507,,,
2011/7/29,0.320025349,,,
2011/8/1,0.336953384,,,
2011/8/2,0.362380353,,,
2011/8/3,0.364781381,,,
2011/8/4,0.364830435,,,
2011/8/5,0.385183547,,,
2011/8/8,0.327077447,,,
2011/8/9,0.326896202,,,
2011/8/10,0.351828416,,,
2011/8/11,0.37406924,,,
2011/8/12,0.396208805,,,
2011/8/15,0.411638421,,,
2011/8/16,0.375962823,,,
2011/8/17,0.344284292,0.33216821,,
2011/8/18,0.353747973,0.32683238,,
2011/8/19,0.326490094,0.32096243,,
2011/8/22,0.337848915,0.31702491,,
2011/8/23,0.346391881,0.288780285,,
2011/8/24,0.382635697,0.297992312,,
2011/8/25,0.371563442,0.326860685,,
2011/8/26,0.358251597,0.319421258,,
2011/8/31,0.323592456,0.323213869,,
2011/9/1,0.304623533,0.321886243,,
2011/9/2,0.287675644,0.304974833,,
2011/9/6,0.307137402,0.279546877,,
2011/9/7,0.331926025,0.299859871,,
2011/9/8,0.332434211,0.288745046,,
2011/9/9,0.341146294,0.303200317,,
2011/9/13,0.36472454,0.26711091,,
2011/9/14,0.395691322,0.258363754,,
2011/9/15,0.314377292,0.303281596,,
2011/9/16,0.318363415,0.312363283,,
2011/9/19,0.314549423,0.3454818,,
2011/9/20,0.306895102,0.353280065,,
2011/9/21,0.308379023,0.355226902,,
2011/9/22,0.309772305,0.34259081,,
2011/9/23,0.290415842,0.340258533,,
2011/9/26,0.299146935,0.341989316,,
2011/9/27,0.272973258,0.315294764,,
2011/9/28,0.273635583,0.295550555,,
2011/9/29,0.316447429,0.285543181,,
2011/9/30,0.33063735,0.292728921,,
2011/10/10,0.333570458,0.318584347,,
2011/10/11,0.282065081,0.3018032,,
2011/10/12,0.266141129,0.305218246,,
2011/10/13,0.272483177,0.311043991,,
2011/10/14,0.266041275,0.348737002,,
2011/10/17,0.332694748,0.42981867,,
2011/10/18,0.343559309,0.393520153,,
2011/10/19,0.338328625,0.348286828,,
2011/10/20,0.342355086,0.3351251,,
2011/10/21,0.321764484,0.360406582,,
2011/10/24,0.330143715,0.39438818,,
2011/10/25,0.298008747,0.360204397,,
2011/10/26,0.299928838,0.326251133,,
2011/10/27,0.318745412,0.33223457,,
2011/10/28,0.304061636,0.356615439,,
2011/10/31,0.214680847,0.31666125,,
2011/11/1,0.241787168,0.354174133,,
2011/11/2,0.296157728,0.328870006,,
2011/11/3,0.256096987,0.345595736,,
2011/11/4,0.260221238,0.335955686,,
2011/11/7,0.299329025,0.336963238,,
2011/11/8,0.2737992,0.333858842,,
2011/11/9,0.284338123,0.359668003,,
2011/11/10,0.266947136,0.345694215,,
2011/11/11,0.268520003,0.363240576,,
